Accuracy,Author,Date,Full_Text,Genre,Opponents,Participants,Race Number,Racer,Rank,Speed,Title,errors
94.9%,David Foster Wallace,"Tue, 22 Jan 2019 14:22:44 +0000","That sometimes human beings have to just sit in one place and, like, hurt. That you will become way less concerned with what other people think of you when you realize how seldom they do. That there is such a thing as raw, unalloyed, agendaless kindness. That it is possible to fall asleep during an anxiety attack. That concentrating on anything is very hard work.",book,cheesattack (1st place),5,426,Liad (ozonzono),4,45 WPM Try,Infinite Jest,"[('That', 'e instead of a'), ('sometimes', 'n instead of e'), ('sit', 'd instead of s'), ('in', 'o instead of n'), ('one', 'i instead of o'), ('place', 'n instead of a'), ('hurt.', 'a instead of h'), ('way', 'a instead of w'), ('concerned', 'e instead of n'), ('think', 'm instead of k'), ('realize', 'u instead of i'), ('such', 'd instead of s'), ('a', 'i instead of a'), ('raw,', '. instead of ,'), ('agendaless', 'n instead of g'), ('kindness.', 'e instead of n'), ('That', 'H instead of h'), ('possible', 'v instead of b'), ('during', 't instead of r'), ('anxiety', 't instead of e'), ('concentrating', 'a instead of r')]"
94.0%,"Lynn Q. Troyka, Douglas Hesse","Tue, 22 Jan 2019 14:24:17 +0000","We live in an age when people do more writing than they have at any other time in history. Not only have computers made it easier to produce clean texts, but they've also allowed average writers to create documents that twenty years ago would have required professional designers.",book,,5,427,Liad (ozonzono),3,43 WPM Try,Quick Access Reference for Writers,"[('more', 'i instead of o'), ('writing', 'h instead of i'), ('they', 'e instead of h'), ('history.', 'r instead of t'), ('only', 'm instead of n'), ('clean', 'a instead of c'), ('writers', 'e instead of r'), ('create', 'a instead of e'), ('documents', 'c instead of d'), ('twenty', 'e instead of w'), ('years', 'r instead of e'), ('required', 'a instead of q'), ('designers.', 'h instead of n')]"
95.2%,Douglas Hofstadter,"Tue, 22 Jan 2019 14:25:24 +0000","Sometimes it seems as though each new step towards AI, rather than producing something which everyone agrees is real intelligence, merely reveals what real intelligence is not.",book,,5,428,Liad (ozonzono),1,45 WPM Try,"Gödel, Escher, Bach: An Eternal Golden Braid","[('Sometimes', 'e instead of s'), ('step', 'r instead of e'), ('towards', 's instead of d'), ('AI,', ' instead of ,'), ('than', 't instead of n'), ('something', 'a instead of s'), ('intelligence,', 'h instead of e'), ('reveals', 'a instead of e'), ('what', 'a instead of w'), ('intelligence', 'h instead of e')]"
97.1%,Joe Johnston,"Tue, 22 Jan 2019 14:28:30 +0000",That's a good idea. Four unidentifiable high school students lost their lives early this morning when their toy rocket exploded.,movie,babatii (3rd place),4,429,Liad (ozonzono),2,47 WPM Try,October Sky,"[('Four', 'd instead of r'), ('unidentifiable', 'd instead of i'), ('school', 'l instead of o'), ('morning', 'i instead of n')]"
94.6%,Craig David,"Tue, 22 Jan 2019 14:29:23 +0000",On my way to see my friends who lived a couple blocks away from me. As I walked through the subway it must have been about quarter past three.,song,asifthegreat (2nd place),5,430,Liad (ozonzono),3,46 WPM Try,7 Days,"[('friends', 'e instead of i'), ('couple', 'l instead of p'), ('blocks', 'o instead of l'), ('from', 'o instead of r'), ('walked', 'n instead of d'), ('through', 'o instead of r'), ('quarter', 'a instead of q'), ('three.', 'e instead of r')]"
95.0%,Chuck Palahniuk,"Tue, 22 Jan 2019 14:31:32 +0000","You have a class of young strong men and women, and they want to give their lives to something. Advertising has these people chasing cars and clothes they don't need. Generations have been working in jobs they hate, just so they can buy what they don't really need.",book,,5,431,Liad (ozonzono),3,47 WPM Try,Fight Club,"[('strong', 'w instead of s'), ('their', 'r instead of i'), ('Advertising', 'r instead of v'), ('they', 'a instead of t'), (""don't"", ""t instead of '""), ('jobs', 'u instead of o'), ('hate,', '. instead of e'), ('so', 'd instead of s'), ('can', 's instead of a'), ('buy', 't instead of y')]"
94.2%,Rockstar Games,"Tue, 22 Jan 2019 14:32:58 +0000","Set in Liberty City. Meltdown! It's all being shot on green screen right out back. We take a look at the financial crisis, and then we boil it all down to a really simplistic battle between two yuppies, with lots of training montages.",game,,5,432,Liad (ozonzono),4,42 WPM Try,Grand Theft Auto V,"[('Liberty', 'v instead of b'), ('Meltdown!', 'n instead of w'), ('being', 'i instead of e'), ('on', 'i instead of o'), ('green', 'a instead of e'), ('screen', 'd instead of n'), ('back.', 'c instead of b'), ('We', 'w instead of W'), ('financial', 'e instead of a'), ('it', 't instead of i'), ('simplistic', ' instead of c'), ('between', 'n instead of e'), ('training', 'g instead of i')]"
93.9%,Daniel Johnston,"Tue, 22 Jan 2019 14:34:27 +0000","This is a promise with a catch. Only if you're looking can it find you. 'Cause true love is searching too. But how can it recognize you unless you step out into the light? Don't be sad, I know you will be, but don't give up until true love will find you in the end.",song,,5,433,Liad (ozonzono),2,44 WPM Try,True Love Will Find You in the End,"[('This', 'e instead of i'), ('is', 'd instead of s'), ('promise', ' instead of e'), ('with', 'h instead of i'), ('Only', 'y instead of l'), ('it', 'n instead of t'), ('find', 'd instead of f'), ('can', 't instead of i'), ('recognize', 'n instead of g'), ('step', 'm instead of p'), ('light?', 't instead of g'), ('but', 'y instead of t'), (""don't"", 'f instead of o'), ('give', 'f instead of g'), ('until', 't instead of u'), ('love', 'i instead of o'), ('find', 'u instead of i'), ('you', 't instead of y'), ('end.', 'o instead of e')]"
96.6%,Madness,"Wed, 23 Jan 2019 11:54:13 +0000","I remember way back then when everything was true and when we would have such a very good time. Such a fine time, such a happy time.",song,retsam101 (5th place) viwarrior (2nd place),5,434,Liad (ozonzono),4,50 WPM Try,Our House,"[('remember', 'v instead of b'), ('everything', 'h instead of t'), ('when', 'a instead of w'), ('very', 'b instead of v'), ('Such', 's instead of u')]"
93.8%,Gosho Aoyama,"Wed, 23 Jan 2019 11:55:14 +0000","In detective work, there's no winning or losing... there's no being inferior or superior... that's because there's always one and only one truth.",other,trionex (1st place),5,435,Liad (ozonzono),3,42 WPM Try,Meitantei Conan,"[('In', 'n instead of I'), (""there's"", ""s instead of '""), ('winning', 'g instead of n'), (""there's"", 's instead of r'), ('inferior', 'n instead of r'), ('or', 'f instead of r'), ('superior...', 'r instead of e'), (""there's"", 's instead of e'), ('and', 'c instead of d')]"
96.5%,Burton G. Malkiel,"Wed, 23 Jan 2019 11:56:08 +0000",The single most important thing you can do to achieve financial security is to begin a regular savings program and to start it as early as possible.,book,,5,436,Liad (ozonzono),3,47 WPM Try,A Random Walk Down Wall Street,"[('single', 'd instead of s'), ('important', 'e instead of o'), ('can', 'd instead of d'), ('to', 'h instead of o'), ('possible.', ', instead of .')]"
96.7%,"Sydney Newman, C. E. Webber, and Donald Wilson","Wed, 23 Jan 2019 11:57:26 +0000","This is my timey-wimey detector. It goes ""ding!"" when there's stuff. Also, it can boil an egg at 30 paces, whether you want it to or not, actually, so I've learned to stay away from hens. It's not pretty when they blow.",other,,5,437,Liad (ozonzono),3,42 WPM Try,Doctor Who,"[('This', 's instead of i'), ('""ding!""', 's instead of d'), ('can', 'd instead of b'), ('whether', 'e instead of h'), ('stay', 'n instead of y'), ('away', 'a instead of a'), (""It's"", ""\\ instead of '""), ('they', 'y instead of t')]"
93.2%,Robert Zemeckis,"Wed, 23 Jan 2019 11:58:33 +0000","The way I see it if you're going to build a time machine into a car why not do it with some style? Besides, the stainless steel construction made the flux dispersal - look out!",movie,cheesattack (2nd place),4,438,Liad (ozonzono),3,41 WPM Try,Back to the Future,"[('going', 'h instead of g'), ('build', 'l instead of i'), ('machine', 'g instead of e'), ('why', 'i instead of y'), ('do', 'i instead of o'), ('Besides,', 's instead of d'), ('stainless', 'd instead of s'), ('steel', 'a instead of s'), ('construction', 'r instead of t'), ('flux', 'o instead of u'), ('dispersal', 's instead of d'), ('out!', 'y instead of u')]"
94.6%,Madeleine L'Engle,"Wed, 23 Jan 2019 11:59:35 +0000","We look not at the things which are what you would call seen, but at the things which are not seen. For the things which are seen are temporal. But the things which are not seen are eternal.",book,,5,439,Liad (ozonzono),2,49 WPM Try,A Wrinkle in Time,"[('at', 't instead of a'), ('things', ' instead of s'), ('what', 'a instead of w'), ('call', 'n instead of l'), ('seen.', ', instead of .'), ('things', ' instead of s'), ('are', 'e instead of r'), ('temporal.', 'r instead of e'), ('are', 'a instead of e'), ('eternal.', 'a instead of n')]"
96.4%,Khaled Hosseini,"Wed, 23 Jan 2019 12:00:34 +0000","It's a funny thing, but people mostly have it backward. They think they live by what they want. But really, what guides them is what they're afraid of. What they don't want.",book,gamerboy330 (4th place),5,440,Liad (ozonzono),1,47 WPM Try,And the Mountains Echoed,"[('mostly', 'i instead of o'), ('think', 'g instead of k'), ('live', 'o instead of i'), ('what', 'y instead of t'), ('guides', 'f instead of g'), ('what', 'a instead of w')]"
94.3%,Ken Jennings,"Wed, 23 Jan 2019 12:01:21 +0000","I always feel a certain sense of reverence in libraries, even small city ones that smell like homeless internet users.",book,viwarrior (1st place),5,441,Liad (ozonzono),3,45 WPM Try,Maphead,"[('libraries,', 'v instead of b'), ('city', 'a instead of c'), ('like', 't instead of l'), ('homeless', 'j instead of h'), ('internet', 'g instead of t')]"
93.8%,Stephen King,"Wed, 23 Jan 2019 12:02:31 +0000",The Lord is my shepherd. I shall not want for nothing. He makes me lie down in the green pastures. He greases up my head with oil. He gives me kung-fu in the face of my enemies. Amen.,book,joseluque (3rd place),4,442,Liad (ozonzono),2,40 WPM Try,The Stand,"[('Lord', 'l instead of L'), ('shepherd.', 'd instead of s'), ('nothing.', ', instead of .'), ('lie', 'd instead of e'), ('down', 'n instead of w'), ('green', 'f instead of g'), ('with', 'o instead of w'), ('He', 'G instead of H'), ('gives', 'c instead of v'), ('kung-fu', 'i instead of u'), ('in', 't instead of t'), ('Amen.', ', instead of .')]"
94.7%,Mike Judge,"Wed, 23 Jan 2019 12:03:48 +0000","When Bill Gates got married on Lanai, he rented every helicopter on the Hawaiian islands so that paparazzi couldn't use them to fly over. Although in that case, it was a positive, because now you can imagine that wedding however you want.",other,jamesmillerp (2nd place) omar370 (3rd place),5,443,Liad (ozonzono),4,42 WPM Try,Silicon Valley,"[('When', 'e instead of h'), ('Gates', 'H instead of G'), ('Lanai,', ' instead of a'), ('Hawaiian', 'e instead of w'), ('islands', 'I instead of i'), ('paparazzi', 'e instead of a'), ('positive,', ' instead of ,'), ('imagine', 'u instead of i'), ('wedding', 'd instead of e'), ('want.', 'g instead of t')]"
93.4%,Rush,"Wed, 23 Jan 2019 12:04:40 +0000","When we are young, wandering the face of the earth, wondering what our dreams might be worth, learning that we're only immortal for a limited time.",song,hussain_juned (2nd place),5,444,Liad (ozonzono),4,46 WPM Try,Dreamline,"[('we', 'a instead of a'), ('are', 'w instead of r'), ('young,', 'i instead of u'), ('wandering', 'f instead of d'), ('the', 'a instead of e'), ('our', ' instead of r'), ('dreams', 'e instead of r'), ('worth,', 'i instead of o'), (""we're"", 'e instead of w'), ('only', 'u instead of y'), ('immortal', 't instead of r'), ('limited', 'e instead of i')]"
95.8%,Virgil,"Wed, 23 Jan 2019 12:06:12 +0000","So ran the speech. Burdened and sick at heart, he feigned hope in his look, and inwardly contained his anguish. Aeneas, more than any, secretly mourned for them all.",book,,5,445,Liad (ozonzono),2,43 WPM Try,The Aeneid,"[('Burdened', 'd instead of e'), ('feigned', 'h instead of n'), ('his', 'e instead of i'), ('anguish.', ', instead of .'), ('Aeneas,', 'a instead of e'), ('than', 'a instead of h'), ('mourned', 'n instead of m')]"
94.4%,Lee Ann Womack,"Wed, 23 Jan 2019 12:07:25 +0000",I hope you still feel small when you stand beside the ocean. Whenever one door closes I hope one more opens. Promise me that you'll give faith a fighting chance when you get the choice to sit it out or dance.,song,,5,446,Liad (ozonzono),4,42 WPM Try,I Hope You Dance,"[('small', 's instead of a'), ('ocean.', 'm instead of .'), ('hope', 'o instead of o'), ('more', ', instead of o'), ('opens.', 'd instead of s'), ('Promise', '{ instead of P'), ('me', 'a instead of e'), ('give', 'f instead of g'), ('faith', 't instead of i'), ('chance', 'd instead of c'), ('when', 'm instead of n'), ('get', 'r instead of t'), ('choice', 'o instead of h')]"
96.3%,Simon & Garfunkel,"Wed, 23 Jan 2019 12:09:08 +0000","I have my books and my poetry to protect me; I am shielded in my armor. Hiding in my room, safe within my womb; I touch no one and no one touches me. I am a rock, I am an island. And a rock feels no pain; and an island never cries.",song,sam1020 (4th place),4,447,Liad (ozonzono),3,45 WPM Try,I Am A Rock,"[('protect', 'o instead of p'), ('me;', 'l instead of ;'), ('shielded', 'e instead of i'), ('within', 'g instead of m'), ('touch', 'y instead of o'), ('no', 'o instead of n'), ('touches', 'y instead of t'), ('I', 'a instead of I'), ('an', 'd instead of i'), ('pain;', 'o instead of i')]"
94.0%,Bungie,"Wed, 23 Jan 2019 12:10:22 +0000","Then listen up! When I joined the core, we didn't have any fancy schmancy tanks! We had sticks! Two sticks and a rock for a whole platoon. And we had to share the rock. Buck up, boy, you're one very lucky marine!",game,flammel (2nd place) hussain_juned (4th place),5,448,Liad (ozonzono),3,42 WPM Try,Halo 2,"[('up!', 'y instead of u'), ('Back', 'A instead of a'), ('my', 'd instead of d'), (""didn't"", ""t instead of '""), ('have', 'c instead of v'), ('fancy', 'd instead of f'), ('tanks!', 'h instead of n'), ('rock', 'd instead of c'), ('share', 'a instead of h'), ('rock!', 'f instead of r'), ('lucky', 'a instead of u')]"
93.7%,Herman Melville,"Wed, 23 Jan 2019 12:11:22 +0000","Give not thyself up, then, to fire, lest it invert thee, deaden thee, as for the time it did me. There is a wisdom that is woe; but there is a woe that is madness.",book,,5,449,Liad (ozonzono),3,45 WPM Try,Moby Dick,"[('Give', 'n instead of v'), ('up,', 'y instead of u'), ('then,', ' instead of ,'), ('fire,', ' instead of ,'), ('thee,', 's instead of e'), ('thee,', ' instead of ,'), ('for', 'g instead of f'), ('but', 'n instead of b'), ('there', 't instead of h'), ('that', 't instead of a')]"
